Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item",Status
,"Kit de Transceptores (Baluns) con Terminal PUSH SUPERIOR PIG TAIL en ambos conectores, Resolución 4K , Cable flexible COAXIAL Blindado / COAXITRON / AUDIO POR COAXITRON /Conector 100% COBRE / Calidad PREMIUM","Kit de Transceptores (Baluns) con Terminal PUSH SUPERIOR PIG TAIL en ambos conectores, Resolución 4K , Cable flexible COAXIAL Blindado / COAXITRON / AUDIO POR COAXITRON /Conector 100% COBRE / Calidad PREMIUM","EPCOM TITANIUM",,,TT101FTURBOZ,true,,,,,,,,,,TT101FTURBOZ,,,500,deny,manual,1.83,1.83,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/EPCOMTITANIUM/TT101FTURBOZ/TT101FTURBOZ-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Kit de Transceptores (Baluns) con Terminal PUSH SUPERIOR, Resolución 4K , Cable flexible COAXIAL Blindado / COAXITRON / AUDIO POR COAXITRON / Menu OSD /Conector 100% COBRE / protección TVS, Calidad PREMIUM","Kit de Transceptores (Baluns) con Terminal PUSH SUPERIOR, Resolución 4K , Cable flexible COAXIAL Blindado / COAXITRON / AUDIO POR COAXITRON / Menu OSD /Conector 100% COBRE / protección TVS, Calidad PREMIUM","EPCOM TITANIUM",,,TT-101-F-TURBO,true,,,,,,,,,,TT-101-F-TURBO,,,500,deny,manual,2.04,2.04,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/EPCOMTITANIUM/TT101FTURBO/TT101FTURBO-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Kit extensor KVM (HDMI y USB) | 40m 4k@30Hz 40m | 1080P@60Hz | Cat 6, 6a y 7 | CERO LATENCIA | HDR | Salida Loop | Uso 24/7 | Salida de audio de 3.5mm | Transmite el Video y Controla tu DVR vía USB a distancia.","Kit extensor KVM (HDMI y USB) | 40m 4k@30Hz 40m | 1080P@60Hz | Cat 6, 6a y 7 | CERO LATENCIA | HDR | Salida Loop | Uso 24/7 | Salida de audio de 3.5mm | Transmite el Video y Controla tu DVR vía USB a distancia.","EPCOM TITANIUM",,,TT223KVM,true,,,,,,,,,,TT223KVM,,,500,deny,manual,73.14,73.14,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/EPCOMTITANIUM/TT223KVM/TT223KVM-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Kit Extensor HDMI | Hasta 70m 1080p | 40m 4K@30Hz | Compatible con HDCP | Cable Cat 6 Recomendado | Soporta Múltiples Resoluciones | Soporta PoC | Salida Loop","Kit Extensor HDMI | Hasta 70m 1080p | 40m 4K@30Hz | Compatible con HDCP | Cable Cat 6 Recomendado | Soporta Múltiples Resoluciones | Soporta PoC | Salida Loop","EPCOM TITANIUM",,,TT372EDID4K,true,,,,,,,,,,TT372EDID4K,,,500,deny,manual,51.76,51.76,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/EPCOMTITANIUM/TT372EDID4K/TT372EDID4K-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Power Bank de 25000mAh | 3 Salidas 145W Max. | USB-A + 2 USB-C | PD 3.0, QC3.0 | FCP | SCP | Pantalla Inteligente | Carcasa Ignifuga | Color Gris | Incluye Cable USB de 50cm | Carga tu Laptop de Manera Segura.","Power Bank de 25000mAh | 3 Salidas 145W Max. | USB-A + 2 USB-C | PD 3.0, QC3.0 | FCP | SCP | Pantalla Inteligente | Carcasa Ignifuga | Color Gris | Incluye Cable USB de 50cm | Carga tu Laptop de Manera Segura.",UGREEN,,,90597A,true,,,,,,,,,,90597A,,,500,deny,manual,62.61,62.61,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/UGREEN/90597A/90597A-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Caja de Conexiones Plástica Compatible con Cámaras epcom / HIKVISION / Uso en Exterior","Caja de Conexiones Plástica Compatible con Cámaras epcom / HIKVISION / Uso en Exterior","SYSCOM VIDEO",,,DS-1280-ZJ-XS-P,true,,,,,,,,,,DS-1280-ZJ-XS-P,,,500,deny,manual,4.34,4.34,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/SYSCOMVIDEO/DS1280ZJXSP/DS1280ZJXSP-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Kit de transceptores activos con conector para alimentación (12V/24Vcc/AC) TurboHD para aplicaciones de video por UTP Cat5e/6 en HD. Distancia de hasta 150 m en 4K","Kit de transceptores activos con conector para alimentación (12V/24Vcc/AC) TurboHD para aplicaciones de video por UTP Cat5e/6 en HD. Distancia de hasta 150 m en 4K","EPCOM TITANIUM",,,TT-101-PV-TURBO,true,,,,,,,,,,TT-101-PV-TURBO,,,500,deny,manual,6.88,6.88,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/EPCOMTITANIUM/TT101PVTURBO/TT101PVTURBO-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Poste Seccionado de 6 Metros / Tubos Mas Gruesos / Especializado para la Instalación de Videovigilancia / Incluye Base de Cimentación y Brazo para Cámara PTZ / Color Negro","Poste Seccionado de 6 Metros / Tubos Mas Gruesos / Especializado para la Instalación de Videovigilancia / Incluye Base de Cimentación y Brazo para Cámara PTZ / Color Negro","SYSCOM VIDEO",,,XGA-POLE-6MS,true,,,,,,,,,,XGA-POLE-6MS,,,302,deny,manual,397.28,397.28,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/SYSCOMVIDEO/XGAPOLE6MS/XGAPOLE6MS-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Caja de Conexiones de Metal / Compatible con DS-2CD20XX, B8-TURBOGXX, THC-B120-XX,, THC-BXX, THC-TXX","Caja de Conexiones de Metal / Compatible con DS-2CD20XX, B8-TURBOGXX, THC-B120-XX,, THC-BXX, THC-TXX",HIKVISION,,,DS-1280ZJ-XS,true,,,,,,,,,,DS-1280ZJ-XS,,,500,deny,manual,9.52,9.52,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/BancoFotografiasSyscom/HIKVISION/DS1280ZJXS/DS1280ZJXS-p.PNG",1,,,,,,,,,,,,,,,,,KG,,,active
,"Kit de transceptores activos TURBO HD. Convierte 36/24 Vcc a 12 Vcc regulados, a través de cable  UTP Cat5e / 6. Transmision de 200 m (Revisar tabla de resoluciones )","Kit de transceptores activos TURBO HD. Convierte 36/24 Vcc a 12 Vcc regulados, a través de cable  UTP Cat5e / 6. Transmision de 200 m (Revisar tabla de resoluciones )","EPCOM TITANIUM",,,TT-4816-PVTURBO,true,,,,,,,,,,TT-4816-PVTURBO,,,500,deny,manual,9.82,9.82,true,true,,"https://ftp3.syscom.mx/cdn-cgi/image/format=png,width=390,height=390/usuarios/fotos/TT101PVTURBO/TT101PVTURBO.jpg",1,,,,,,,,,,,,,,,,,KG,,,active
